repo_owner,repo_name,complexity_score,success
IctEduTeam2,STANDSAFE,20,True
aquelemiguel,parrot,24,True
piamayuga,desktop-tutorial,0,False
TuanAnh1210,Braintech-App,26,True
src-anolis-module,maven,2,True
jaykrell,mono,905,True
LowerRockLabs,laravel-livewire-tables,58,True
DataDog,chef-python,46,True
stanreee,sign-language-learning,22,True
acn916,Senior-Project,6,True
pharo-vcs,iceberg,1606,True
sighBRG,Dynamic-webapplication-newton,28,True
ICS3UI-01-2016,3U-Quiz3,10,True
alaoweb,2020.alaoweb.org,288,True
openharmony-tpc,chromium_third_party_quic_trace,37,True
opencloudos-stream,corosync-qdevice,2,True
HayatEmraan,dwelling,50,True
asgeirrr,prezencka,36,True
sjgresha,The-Dinner-Club,18,True
xendit,xendit-opencart-module,9,True
COMU-BLM4022,Exercises,2,True
IsmaelRuizJurado,Acme-L3-D04,34,True
src-openeuler,rubygem-net-scp,13,True
painprog,LetsGo,2,True
ScottishCovidResponse,data_pipeline_api,68,True
Test-Pro-Bootcamp,A55-QA-Automation-Framework,4,True
vchernin,easyeffects,835,True
umassd-dataviz,CIS-470-TermTest,26,True
src-openeuler,lohit-bengali-fonts,6,True
src-anolis-os,python-websocket-client,2,True
GeekUniversity,Frontend-05-Template,42,True
Shi-553,ReLeaF,102,True
src-openeuler,perl-Dist-CheckConflicts,8,True
nmrodio,NFL_Fantasy_Football,46,True
polispay,polis,2,True
Zesty-Surprise,feedback-frontend,31,True
mipengine,mip2-extensions,20,True
alice-skills,bufet,50,True
cesurvmnc,examen2024,114,True
equinor,resdata,56,True
UBC-MDS,dsci_525_group18,21,True
bekindtomammals0,ASI_HR-Hiring-System_Group4,74,True
perfume-pick,purple-front,19,True
jakescheele,whats-in-store,42,True
Ada-C7,trek,4,True
kozubskyi,goit-react-node-project,24,True
kurenn,market_place_api,34,True
The-Dirty-Dino-Mites,holeDat,36,True
src-openeuler,wqy-microhei-fonts,7,True
tanyagupta0201,LeetCode-Problems-Solutions,570,True
joinpursuit,Pursuit-Core-iOS-5-3-Fellows-List,2,True
front-camp-2018,tags-input,16,True
lynntfuzz,ToDoOrNotToDo,38,True
scribeWiz-team,ScribeWiz,21,True
src-anolis-os,yaml-cpp,2,True
funmusicplace,mirlo,78,True
AlexGeekBrains,online-classifieds,5,True
ironhack-labs,lab-react-state-training,24,True
javaee,jsonp,17,True
LambdaSchool,Sprint-Challenge--Security-Theory,6,True
src-anolis-os,perl-Unicode-CheckUTF8,4,True
timofeysie,serene-brushlands,70,True
opencloudos-stream,qt5-qtlocation,8,True
hemenkapadia,getbhavcopy,15,True
ga-wdi-exercises,checkpoint-express-mongoose-short,22,True
src-openeuler,geronimo-validation,8,True
src-anolis-ai,clinfo,4,True
raml-org,raml-js-parser-2,90,True
minyoung529,Lighp,96,True
JPsiInVR,organisation,22,True
companieshouse,limited-partnerships-web,23,True
smokhadar,catch-up2,18,True
capsule-corp-ternoa,nft-marketplace,111,True
src-anolis-os,mecab,2,True
Rooks-on-Rails,rooks_on_rails,59,True
IBM,spm-citizen-engagement,6,True
Ramlan404,babybot,66,True
ArduPilot,ardupilot_gazebo,55,True
s-e-r-O,practica-certi,0,False
HackYourFuture-CPH,class-25-ironside,30,True
DevelopersZone06,revive-client,36,True
ArmDeveloperEcosystem,arm-learning-paths,86,True
aritraroy24,HACKTOBERFEST2021_PATTERN,918,True
fga-kominfo,assignment-3,2,True
src-openeuler,python-xattr,9,True
werf,3p-argocd-image-updater,50,True
sonic-net,sonic-tsc,71,True
BernardoEstrada,Qarinio-animal,196,True
segmentio,react-storybook,36,True
prisma,prisma-engines-builds,2,True
cucynthi77,socialapp-starter,22,True
Tejashri-Taral,TrendTrove-Ecommerce,442,True
Twilight-Studioo,production,11,True
src-openeuler,perl-Test-Dist-VersionSync,8,True
eurodatacube,eodash-catalog,327,True
mechef,mechef,32,True
CIMAC-CIDC,cidc-api-gae,64,True
InnovaGameCreate,AtamakkoCard,76,True
chingu-voyages,v43-tier2-team-11,76,True
susanna3003,Capstone2024,24,True
nnikolovskiii,FinkiRasporedi,49,True
sapcc,manila,113,True
espressif,esp-lwip,28,True
DSCI-310-2024,DSCI310_Group-12_Credit-Risk-Classification,82,True
zhangguanzhang,Actions-OpenWrt,6,True
openai,gym3,105,True
We-Are-INFPs,Algorithm,351,True
src-anolis-os,perl-IO-stringy,2,True
TechTitansFTC,IntoTheDeep,27,True
src-openeuler,python-justbytes,4,True
src-anolis-os,python-deprecation,4,True
msasif2000,LumiJob-Client,48,True
pagopa,pn-national-registries,7,True
opencloudos-stream,python-pytest-rerunfailures,2,True
spectatorpublishing,womens-history-month,28,True
WildCodeSchool,2309-wns-jaune-snow-wild,58,True
Tencent,iHearing,42,True
ORNL-AMO,ORNL-Weather,32,True
alan-turing-institute,arc-model-similarities-phase-2,85,True
RubiMonti,arquitectura_software,26,True
shadowproject,shadow,306,True
SNULION-12th,react-advance-seminar,42,True
arshadkazmi42,first-issues,50,True
erda-project,ory-kratos,374,True
Lambda-School-Labs,CS10-flight-log,23,True
ClickHouse,libpqxx,254,True
src-openeuler,librsync,9,True
AliyunContainerService,terraform-provider-alicloud,1484,True
Gooey-Dee-Bee,Ripple,24,True
LABS-EU3,shopping_cart_frontend,34,True
Fareedh-12,tech-roots-project,48,True
msp-strath,TypOS,249,True
NadyaKonzevaya,Icecream-group9,15,True
src-openeuler,perl-Test-Pod-No404s,8,True
FromDoppler,doppler-html-editor-api,48,True
duongphhe151097,SWP391_TradeSystem,43,True
TechTeam-org,public-tasks,28,True
canonical,bundle-kubeflow,120,True
jenkinsci,groovy-pipeline-model,5,True
TeamDash2021,Keep-In-Check,18,True
michaljabi,js-na-frontach-zadania,2,True
kedro-org,kedro-devrel,12,True
Huastechnology,Vue-Course-Manager,18,True
src-openeuler,python-XStatic-Dagre-D3,4,True
serlo,serlo-editor-as-lti-tool,54,True
mannimaster,compsci-proj-md,77,True
UMC-5th-TOgether,Together_BE,6,True
paulcacheux,aoc,42,True
rizafahmi,awesome-speakers-id,4,True
burovskiile7,Group16_Git_GitHUb,5,True
R-o-y,variora,37,True
symopsio,terraform-provider-sym,32,True
openharmony,drivers_interface,87,True
Lambda-School-Labs,labspt2-ksl-alerts,24,True
ilham77,pplA6,19,True
RUGSoftEng,2018-Tuberculosis-Android,13,True
JiyaGupta-cs,ShopNex,50,True
lucabriguglia,OpenCQRS,54,True
MicroPyramid,micro-finance,147,True
happy-se-life,kanban,10,True
shobhi1310,backend-team,206,True
douglmendes,mercado-fresco-round-go,14,True
alinmear,docker-conanexiles,12,True
src-openeuler,nodejs-grunt,15,True
venkyEidiko,aus-corsafe-poc,11,True
saeraa,next-tomten,18,True
CMPUT301F23T16,HoneyBadgersProject,70,True
TeamC2-Softwareprojekt,ParkBlazer,33,True
dang-van-thinh,ecommerce-gundam-win,75,True
khalilcherni,Hope-TN,10,True
datastax,pulsar-io-cloud-storage,25,True
RepreZen,KaiZen-OpenApi-Parser,12,True
MrPunyapal,basic-crud,93,True
BCSDLab,KOIN_iOS,22,True
UpstreamData,pyasic,26,True
intel,ipu7-camera-hal,89,True
LeandroT22,Proyecto_Final_JaP,238,True
kyverno,pod-security-admission,181,True
SlateIn,slatein-app,49,True
MeowDevelopers,today-house-clone,11,True
tirtzerzbrez,Mobile-Programming,12,True
HydroFish-Waterloo,HydroFish,15,True
AY2021S1-CS2103T-T13-2,tp,45,True
sei-protocol,sei-cosmos,467,True
Orchid-DOTNET,BscCSIT-2023-MVC,16,True
FREAC,LABINS,20,True
pesumca23,github_demo,6,True
1CRM,oceanfront,21,True
XML-BSEP,Security,27,True
src-openeuler,nodejs-docopt,9,True
FundamentosProgramacion,Tarea_01,4,True
whirli,whirli-client,46,True
anosach-luxoft,sdl_core,20,True
glygener,glygen-frontend,99,True
HernanGonza,proyecto-final-web-app-servicios,9,True
SUNKARAAYODHYARAMIREDDY,DeepLearning_1stAssignment,134,True
SmartFitStudio,FitnessWebAppWithRAG,39,True
SW814F20,Report,30,True
demisto,ts-essentials,34,True
Ren149,INTROSE-Source-Repository,6,True
opencloudos-stream,python-autopage,5,True
urfu-2016,markup-task-9,12,True
AxelB01,proyecto-grado,14,True
rancher,rancher.github.io,130,True
src-openeuler,intel-ipp-crypto-mb,8,True
pegas-alias,pegas-alias,23,True
sktometometo,jsk_robot,73,True
theonion,bulbs-public-ads-manager,40,True
cee-chen,kibana,2379,True
AY2324S2-CS2103T-W11-2,tp,47,True
Dilbert66,esphome-vistaECP,74,True
HomeFoodFighter,Server,18,True
fproldan,erpnext,51,True
BrayMurph,BITS-Review,16,True
Technigo,project-p1-first-webpage,8,True
m-asadd1997,TucShopApp,40,True
heena3443,Lab5-Section1-Summer2020,2,True
josh16,ConsoleGameDev_2,124,True
opencloudos-stream,openvswitch,18,True
MobilityData,elrond.gtfs.org,25,True
TimeZynk,timezynk-api-spec,14,True
src-openeuler,kpmcore,8,True
BCDevOps,OpenShift4-RollOut,6,True
healthsites,hcid-watchkeeper,51,True
src-openeuler,rosidl,9,True
kdt-live,git-0608,14,True
janus-idp,backstage-showcase,103,True
CodeYourFuture,scot-volunteer-ad,32,True
src-openeuler,example_interfaces,4,True
src-openeuler,ghc-servant-server,10,True
src-openeuler,python-pyspelling,8,True
Abid357,git-workshop-357,12,True
openkylin,kactivitymanagerd,12,True
badass-pirates,pirates,110,True
WordPress,wporg-photo-directory,18,True
horsejs_admin,ScreenCapture,6,True
src-openeuler,SDL_sound,9,True
TheRealSpectrum,four-horsemen-restaurant,79,True
t-will-gillis,website,282,True
mate-academy,react_add-todo-form,30,True
2019-Flexcode-Cohort,smart-shopping-list,10,True
YuKARLO15,Thesis-Borrowing-System,10,True
joinpursuit,Pursuit-Core-Web-Twitter-CSS-Assignment,14,True
wolk8506,team-icecream,29,True
src-openeuler,perl-JSON-Pointer,8,True
hortonworks-spark,spark-llap,22,True
src-openeuler,python-markdown,5,True
digitalinnovationone,matches-simulator-app,19,True
mapbox,assembly,134,True
Zrips,CMI,44,True
grafana,yugabyte-datasource,73,True
noorbhatia10,grappus_skribbl,36,True
haor186,hrcms_V1.2,11,True
codetrybe,DailyTracker-backend,12,True
presly808,acp18,80,True
oasis-dev,it-transformation,6,True
Domraider,rxnet,12,True
hstreamdb,hstreamio-cdn,12,True
oneblink,forms-cdn,74,True
sg05060,SDS_A_LAB,96,True
openkylin,ide-vscode-java-pack,71,True
FPLHN-FACTORY,udpm-tutor-management,35,True
rahataid,rahat-platform-nx,84,True
openharmony-sig,libogg,85,True
agrc,udot-parcel-ml,129,True
src-openeuler,python-ibmcclient,8,True
Food-Rescue-Social-Media-Platform,Food-Rescue-social-media-application,39,True
hsnam95,class2022Spring,64,True
AufaNajid,RusConsign,37,True
AY2021S1-CS2103T-T17-4,tp,41,True
amzn,amazon-payments-magento-2-plugin,221,True
kcc112,BibliotekaIO,16,True
youssefalb,HealthHub,50,True
src-openeuler,kf5-libkcddb,9,True
mate-academy,jv-jdbc-intro,5,True
contentql,pin-horizon-health,47,True
jina-ai,executor-video-torch-encoder,25,True
src-openeuler,ignition_cmake2_vendor,4,True
071921-LTI,TRiPLNR-front,19,True
papanton,BowGame,130,True
violettagoldman,webserv,86,True
bcgov,vc-authn-oidc,39,True
src-openeuler,python-enmerkar,8,True
opencloudos-stream,ipset,6,True
Odin-SMR,odin-api,40,True
gdg-berlin-android,ZeBadge,63,True
Azure,communication-monitoring,46,True
grafana,k6deps,71,True
TheSoftwareFactory,DlearnHelsinki,37,True
SarayGal,Unac-Virtual-Tracking,22,True
yunify,packer-builder-qingcloud,6,True
rameshabeysekara,planner-app-react-native,46,True
saby,builder,195,True
Ferlab-Ste-Justine,cqdg-portal-ui,54,True
SkrapLitter,capstone,32,True
fuku-git,Weeeb,81,True
src-openeuler,ublox,4,True
subhadipbhowmik,30-Days-Of-CPP,30,True
awesome-academy,real_estate,83,True
Programacion-III-UAP,github-starter-course,2,True
gaborlovasdotcom,liferay-portal,788,True
UCL-COMP0233-24-25,earthquakes,5,True
MobileApps-Cascadia,fncf-photopoints-ios,2,True
leomont,cursoDesarrolloSoftware20242,2,True
ImisDevelopers,SORMAS-Project,119,True
alkemyTech,OT102-Server,210,True
PauloJaime,ser515asu,8,True
ZbayApp,nectar,20,True
TVTKMO22-WP-GROUP-1,Climate_Change-Visualizer,35,True
src-openeuler,hunspell-ms,9,True
src-openeuler,openblas,12,True
opencloudos-stream,liblzf,4,True
inf112-v19,Handbrekket,61,True
UBC-MDS,DSCI-532_2024_22_flightfinder,41,True
cse442-fall-2019-offering,442projects-loopholes,26,True
nordakademie-einfuehrung-java,studenten,8,True
kadetXx,HNG-Script,1233,True
espressif,test-project-bot,2,True
bita2019,lnd8-BShade-finalproject,30,True
TiimMate,TeamMateClient,22,True
dwilliams5807,Project-3,26,True
OrderHere2023,OrderHere-backend,11,True
JuN-front,Junsei-frontend-basic-2022-todoapp,16,True
ionic-team,ionic-v3,40,True
openenclave,test-infra,29,True
123charu,Scripting-Languages-Mid-term-Practical,70,True
dotnet-foundation,projects,38,True
src-openeuler,python-django-rules,8,True
dvkruchinin,cvat,173,True
ViktoriyaRyazhska,Lv-256.ATQC,18,True
notBASIL,Final-Project,36,True
Iura-Radulov,teamproject-filmoteka,24,True
StarRocks,docusaurus-build,12,True
Banndzior,git-pb,12,True
QAAFI,REMS2020,15,True
src-openeuler,perl-Language-Functional,8,True
Sameer1223,ferrous,2,True
Sitecheckcheck,SkyFitnessPro,18,True
CSIS-iLab,reconasia_wp,12,True
chengsteven,city-dog-share-calendar,86,True
TRI-AMDD,beep,60,True
CMPUT404-F21T0,CMPUT404-Project-BetterSocial,9,True
JonnyFernandez,assistt,22,True
BattlesnakeOfficial,rules,137,True
src-anolis-os,fabtests,4,True
EbrahimHanafy,Jumia,10,True
Stellar-Soft,QuartonQuest,0,False
RevanthR,AI_Assignments,176,True
apache,fineract-cn-portfolio,24,True
Expensify,react-native-x-geolocation,18,True
oclif,plugin-svo,16,True
src-openeuler,rubygem-cucumber-wire,11,True
project5jo,maroon5,14,True
42Flowers,transcendence,50,True
adobe,plugin-hooks,30,True
opencloudos-stream,python-fqdn,5,True
frncscdf,Tecnologie-Web,118,True
openkylin,7zip,0,False
Kobaysh,EscapeFromNote,2,True
staubjoao,busca_emprego,54,True
jenkinsci,livingdoc-reports-plugin,16,True
DelazJ,QGIS-Documentation,62,True
Nazar710,CIBG-WNT-Parser,14,True
we-are-what-we-do,we-are-what-we-do,42,True
MiNISpaceMobile,minispace,38,True
outsideOfficialy,Prod,32,True
src-openeuler,perl-Daemon-Control,8,True
kosukeimai,wru,135,True
grafana,grafana-k6-app-plugin-feedback,6,True
FeenixServerProject,Archangel_2.4.3_Bugtracker,2,True
openkylin,sphinx-rtd-theme,25,True
src-openeuler,libytnef,11,True
src-openeuler,perl-Data-Stream-Bulk,4,True
alisw,alidist,536,True
neo4j,docs-kafka-connector,18,True
HDFGroup,hdf-compass,88,True
TYPO3-Documentation,typo3-writing-guide,43,True
src-openeuler,mate-backgrounds,9,True
joinpursuit,Pursuit-Core-Web-HTML-Introduction-Lab,26,True
DavidDr90,Lets-Talk,61,True
mulesoft,docs-api-governance-documentation,14,True
supabase-community,flutter-auth-ui,16,True
infobloxopen,infoblox-client,97,True
src-openeuler,ovirt-ansible-manageiq,9,True
oasisprotocol,wallet,190,True
scoop-tech-corp,rpc-be,93,True
JingJingQ,-1-,2,True
IrinaGlodeanu,TramsA6,52,True
ConductionNL,Proto-application-NLDesign,55,True
sotobabi,betty,15,True
hei-school,hei-admin-api,39,True
swarfarm,swarfarm,165,True
UBC-MDS,525_group_3,4,True
Hounsvad,OOP-Sem.1-2018,15,True
Zarathustra4,ML-Essence,22,True
super30admin,Strings-1,2,True
AgileWarsaw,netlify,22,True
src-openeuler,rubygem-actionmailbox,13,True
src-anolis-ai,super-lu,4,True
vercel,title-site,10,True
ZZOMING-K,2024_Algorithm_Study,4,True
jaeh2020,Teamproject,5,True
bdluc,Internship_QNU,31,True
aliemteam,ALiEMU,74,True
communitynostalgiaproject,Nostalgia-Project-Client,42,True
huymq,opencps-v2,14,True
and-rewsmith,iotedge,150,True
mozilla,mozilla-campus-clubs,58,True
ollybh,18xx,147,True
src-openeuler,ghc-unix-time,8,True
openharmony,testfwk_arkxtest,45,True
MaggieYang57,CSC308-TeamB,26,True
Darkhax-Minecraft,Bookshelf,19,True
kabdomora,P3G5,16,True
kzhereb,kpi-acts-ta2020,4,True
marisabivi,galapagos-conservancy,282,True
src-openeuler,perl-Carton,9,True
Seeyou2000,SE_UNO_Project,95,True
LMS-Learnvista,LB_DSC_SEPT_WKDY_2020,225,True
PetroHrynyk,parcel-test,13,True
MLSAKIET0821,MLSAKIET_FWdevops_INTERNSHIP,2,True
illiden228,GB_3,4,True
firasm,542_code_review_template,13,True
midudev,landing-infojobs,42,True
cldblz,cocktails,10,True
openharmony-tpc,chromium_third_party_libsync,20,True
laravel,lumen-docs,50,True
src-openeuler,python-xtermcolor,8,True
open-telemetry,opentelemetry-ruby-contrib,44,True
nitiowo,Biocomputing-Final-Project,228,True
src-openeuler,python-pyhcl,8,True
martijn9612,fishy,63,True
muthuArivoli,school-bus-planner,42,True
openeuler-risc-v,kylin-music,13,True
LNReader,lnreader-plugins,56,True
alkemyTech,OT126-SERVER,184,True
ministryofjustice,opg-sirius-supervision-finance-hub,148,True
sandboxnu,mgh-video-journal,92,True
openeuler-competition,summer2021-11,11,True
Aitrich-Academy-ASP-Net-Core,.NetCore-Angulae-OnlineBatch-04,24,True
ShaBaiTianCN,Skyopolis-5,15,True
rails,website,2094,True
Julie-Fabre,bombcell,70,True
DankMemer,imgen,404,True
pinglepingle,Lets-be-Amazing,14,True
takkun1993,Flea-market-app,106,True
src-openeuler,base64coder,4,True
railbotan,xmljson,2,True
opencloudos-stream,python-sphinxcontrib-actdiag,2,True
kkms30,SmartShop,58,True
opencloudos-stream,aide,10,True
sugarcrm,SugarCE-Add-ons,2,True
Think-Tank-6,Voice-Of-the-Star,48,True
Mercantec-GHC,h2-projekt-trinity-hotel,38,True
D3strukt0r,fhnw-jass,32,True
carrot-u,carrot-u-admin-app,56,True
john9101,LTW_N15,27,True
kaltura,html-bind,21,True
expo,expo-analytics-segment,48,True
KEA-DoKebi,dalkom-front,40,True
codice,alliance,24,True
DishantaK,gitTickets,38,True
Culinart,Culinart,21,True
maieul,biblatex-bookinarticle,45,True
leon123858,ntuaf,6,True
teamlead11,GitNew7,6,True
Shift3,DevOps-Apprenticeship-Notes,4,True
DungBeetle0618,talktok,8,True
learn-co-students,react-async-fetch-lab-v-000,18,True
pphongsavath03,create-a-car,58,True
Lojain45Mostafa,InstagraClone,47,True
cul,ldpd-findingaids-asi,72,True
ConsenSys,Sap_ForkTest,8,True
bit-bots,ddlitlab2024,23,True
infoshareacademy,jfddr9-projekt-html-css,12,True
Dental-Revenue,Codebase-2-Dev,212,True
BartoliniAndBorderCollies,Restaurant_Management_System_REST_API,3,True
radareorg,r2con2019,2,True
DAN-MU-ZI,healthyreal,27,True
infoshareacademy,jjdd7-gitLoopersi,36,True
google,minions,14,True
framgia,sph-ut-uni-charts,94,True
tylersuchan,symphoni,8,True
CS2103AUG2016-W14-C2,main,36,True
Lucky-Ducky-ATGJ,Lucky-Ducky,5,True
TeamAwsom,awsm-backend,50,True
ironhack-labs,lab-es6-algorithms,4,True
acesdit,first-contributions,14,True
phoenix-ceri,Foodi3-C3ntral,20,True
Weit-2nd,roady-foody-server,8,True
Equilibrium23,Fancy-Recipes,16,True
openshift,simple-openshift-sinatra-sti,4,True
src-openeuler,python-packaging,9,True
pouorix,vSharee_front,40,True
src-anolis-os,perl-Parse-DebControl,4,True
UppuluriKalyani,ML-Nexus,116,True
HubSpot,cli-lib,194,True
Austinx75,Team-9-TCSS-450,14,True
tomered,smart-campus-frontend,40,True
XavierAubert,core-v-verif,73,True
opencloudos-stream,perl-DateTime-Locale,2,True
openkylin,libtool,18,True
jenkinsci,frugal-testing-plugin,10,True
src-openeuler,jdependency,8,True
Shannoon,TortoiseGit,2,True
lilatan,CSE442Project,22,True
quiches-group,quichtify,52,True
aws-quickstart,quickstart-atlassian-jira,16,True
src-openeuler,xfce4-vala,11,True
yousefahmed98,git_assignment_Team6,45,True
the-virtual-brain,tvb-root,123,True
LarryByrd89,gusteaus-restaurant,18,True
connectrpc,examples-es,239,True
garasijogi,mamoto-website,103,True
CAMPUS-3-BUT-INFORMATIQUE,Horizons,31,True
VinAIResearch,ISBNet,62,True
ohtuprojekti-kokoushuone,kokoushuoneiden-varaaminen,26,True
primihub,confidential-computing-zoo,17,True
TechnologyMasters,jobs,2,True
apache,struts-site,119,True
fe-may23-teamscript,ecommerce_frontend,12,True
sweng2,sweng2,46,True
src-openeuler,e2fsprogs,41,True
opencloudos-stream,postgres-decoderbufs,2,True
essayNEXT,REPETITOR,39,True
alumnicelliitr,Raionzo-website,11,True
sensu,sensu-docs-legacy,10,True
AndreyMukhametzyanov,CoursesApp,72,True
shabeebkaip,flytern,100,True
selltea,OOSEproj,180,True
platanus,2021-1-Grupo4-Web,96,True
ashiqur-r-biplop,Dhaka-Bus-Ticket,26,True
johansbg,Quilla-Tour,38,True
jnsmelinda,Vent,34,True
MaximKucheriaviy,filmoteka-by-team-2,28,True
OneSignal,OneSignal-Xamarin-SDK,90,True
austenhughes,The-Baffoonery,32,True
j-cool-hirai,fukui-study,40,True
zyngjaku,agh-xp,52,True
ForgeVTT,ddb-meta-data,42,True
0xPolygon,cdk-data-availability,130,True
SchoodEIP,Schood-API,23,True
hydrogram,hydrogram,72,True
JoshKardos,TuTour,22,True
COSC481W-2020Fall,cosc481w-581-2020-fall-stattracker,56,True
IsmaelMartinez,logger-to-kibana,58,True
src-openeuler,geronimo-jta,8,True
jenkinsci,wix-plugin,10,True
computingfuturetech,officeERP,40,True
Jolg42,upptime,58,True
Shmythor,Sharebin,28,True
Yuki-Inagawa,freemarket_sample_55b,66,True
frontend-park-mail-ru,2022_1_devo4ki_na_d1skoteke,18,True
ISPP-P2,HeartForChange,14,True
woowacourse-precourse,kotlin-baseball-6,9,True
watson70percent,SAMURAI-SOCCER,121,True
FACG6,social-streets,22,True
fe-aug23-team5,product_catalog,18,True
wh-portal-development,WarhammerPortalDevelopment,10,True
ros-industrial,abb_experimental,68,True
bhartiharinkhede44,hospital-admin-pro,28,True
Pewter-City-BlueOcean,rave-app,24,True
Consensys,solc-typed-ast,26,True
AndrewSavinchuk,Group19_TryCloudCucumba,2,True
eProsima,Micro-XRCE-DDS-Client,40,True
hunglq249,vyan,74,True
learn-co-students,building-forms-lab-v-000,34,True
arulpc1995,testng,42,True
WargaLab-Information-Systems,pemrograman-visual-3D-2024,14,True
src-openeuler,perl-CPAN-Meta-Check,9,True
microsoft,appcenter-sampleapp-ios-swift,28,True
CS2103AUG2016-T15-C1,main,29,True
IUS-CS,project-facebook-api-integration-software,31,True
Falmouth-Games-Academy,comp110-worksheet-1,9,True
woowacourse,java-chicken-2019,8,True
src-openeuler,perl-MooseX-OneArgNew,4,True
src-openeuler,sunpinyin,20,True
Kenneth-Ngcobo,ASE_2024_GROUP_D,76,True
timdeschryver,hacktoberfest-2019-angular,44,True
Cosmic-Cryptid-Games,GrowingDepths,8,True
bugKillers-AlphaCode-Teams,react-product-catalog,34,True
SpilledCofee,DataBase,68,True
techmefr,WildChat,44,True
LArSoft,webevd,10,True
TaskWeaver,frontend_app,64,True
StephGidde,choost,14,True
electron,sheriff,34,True
mike-barber,daves-garage-primes,22,True
NicolasEsqui01,fizzmodTeam,45,True
frdtorres,Teaching2024,8,True
Ada-C7,ride-share-two,12,True
3um-Group,Atomic-SDK,32,True
cdk8s-team,cdk8s-plus,145,True
mapbox,node-geolite2,16,True
cse442-fall-2019-offering,442projects-sjdf,53,True
arc-repos,arc-example-webpack,16,True
src-openeuler,python-mne-bids,9,True
ChesterSVK,PA165-RedTeamProject,21,True
Leibnitz80,java-filmorate,13,True
dmab0919-aTeam,3-semester-project,28,True
nextcloud,documentserver_community,33,True
Team-OnePiece,OnePiece_BackEnd,8,True
openkylin,rust-unicode-ident,8,True
proyectobufete,ProyectoBufete,46,True
sagun03,node-shopping-server,22,True
IBM,event-notifications-huawei-android-sdk,30,True
NasserBen,MediSearch,18,True
google,digitalassetlinks,12,True
ingadhoc,account-financial-tools,67,True
jerwest,project-repcon,8,True
isDamont,QHTMLPen,38,True
src-anolis-os,dwarves,2,True
polinaucc,crm-food-establishment,16,True
jojayama,CutecoreHealth,10,True
SE2-GROUP-P12,SPG,31,True
Tencent-RTC,TUIRoomKit,97,True
aylinev2,CodeU-Summer-2018,3,True
JeffersonCallupe,BigTech_Consulting,4,True
cfpb,complaint-intake,52,True
ConnerOzenne,Rapid-Rx,24,True
behzadparvaz,ODoc-Front,136,True
src-anolis-ai,python-resize-right,4,True
pdp-adademy-g27,1fit-green-team,7,True
n8n-io,codemirror-lang-n8n-sql,28,True
dlwnsgus07,algorithm_study,55,True
